Date,Price,Open,High,Low,Vol.,Change %
"May 15, 2015","1,241.13","1,240.75","1,249.05","1,231.91",,-0.08%
"May 14, 2015","1,242.11","1,240.15","1,248.14","1,235.81",,0.06%
"May 13, 2015","1,241.34","1,224.73","1,242.58","1,222.53",,1.25%
"May 12, 2015","1,226.01","1,222.63","1,237.22","1,219.37",,0.18%
"May 11, 2015","1,223.86","1,216.99","1,225.15","1,213.10",,0.40%
"May 08, 2015","1,219.03","1,231.28","1,233.84","1,216.02",,-1.10%
"May 07, 2015","1,232.57","1,224.63","1,245.56","1,221.87",,0.49%
"May 06, 2015","1,226.58","1,208.42","1,227.51","1,206.98",,1.40%
"May 05, 2015","1,209.59","1,204.59","1,212.83","1,196.86",,0.31%
"May 04, 2015","1,205.81","1,210.29","1,212.52","1,201.79",,-0.45%
"May 01, 2015","1,211.27","1,207.76","1,220.60","1,205.75",,0.17%
"Apr 30, 2015","1,209.26","1,189.94","1,214.59","1,184.84",,1.50%
"Apr 29, 2015","1,191.43","1,167.59","1,194.41","1,166.32",,1.93%
"Apr 28, 2015","1,168.85","1,162.64","1,171.19","1,161.07",,0.42%
"Apr 27, 2015","1,163.99","1,169.01","1,171.86","1,161.03",,-0.55%
"Apr 24, 2015","1,170.47","1,168.96","1,175.28","1,162.41",,0.01%
"Apr 23, 2015","1,170.32","1,161.48","1,172.12","1,154.37",,0.64%
"Apr 22, 2015","1,162.82","1,161.55","1,165.01","1,154.01",,0.01%
"Apr 21, 2015","1,162.67","1,161.90","1,166.83","1,153.47",,-0.06%
"Apr 20, 2015","1,163.36","1,171.58","1,173.36","1,157.50",,-0.67%
"Apr 17, 2015","1,171.25","1,165.79","1,173.10","1,160.39",,0.36%
"Apr 16, 2015","1,167.03","1,165.88","1,171.58","1,155.68",,-0.03%
"Apr 15, 2015","1,167.33","1,162.31","1,170.60","1,158.05",,0.34%
"Apr 14, 2015","1,163.43","1,162.83","1,169.49","1,151.68",,-0.06%
"Apr 13, 2015","1,164.16","1,159.07","1,167.74","1,157.45",,0.36%
"Apr 10, 2015","1,160.03","1,167.84","1,171.01","1,155.94",,-0.77%
"Apr 09, 2015","1,169.07","1,177.10","1,181.97","1,164.90",,-0.78%
"Apr 08, 2015","1,178.24","1,183.56","1,188.43","1,176.47",,-0.55%
"Apr 07, 2015","1,184.81","1,184.85","1,194.58","1,181.15",,-0.14%
"Apr 06, 2015","1,186.43","1,192.09","1,198.37","1,183.82",,-0.53%
"Apr 03, 2015","1,192.74","1,186.34","1,199.65","1,184.78",,0.42%
"Apr 02, 2015","1,187.70","1,180.91","1,189.36","1,179.26",,0.46%
"Apr 01, 2015","1,182.21","1,188.87","1,192.32","1,178.94",,-0.66%
"Mar 31, 2015","1,190.05","1,198.55","1,202.89","1,187.71",,-0.81%
"Mar 30, 2015","1,199.74","1,200.54","1,205.08","1,195.16",,-0.17%
"Mar 27, 2015","1,201.80","1,201.67","1,209.22","1,191.68",,-0.08%
"Mar 26, 2015","1,202.76","1,207.58","1,222.02","1,198.20",,-0.51%
"Mar 25, 2015","1,208.95","1,204.47","1,213.59","1,200.99",,0.25%
"Mar 24, 2015","1,205.95","1,210.22","1,219.14","1,201.34",,-0.46%
"Mar 23, 2015","1,211.48","1,205.51","1,214.27","1,199.57",,0.53%
"Mar 20, 2015","1,205.05","1,194.91","1,211.63","1,193.00",,0.75%
"Mar 19, 2015","1,196.09","1,206.73","1,213.93","1,189.54",,-0.99%
"Mar 18, 2015","1,207.99","1,195.66","1,224.22","1,191.72",,0.93%
"Mar 17, 2015","1,196.89","1,194.92","1,200.27","1,189.76",,0.05%
"Mar 16, 2015","1,196.26","1,192.99","1,199.92","1,186.94",,0.15%
"Mar 13, 2015","1,194.45","1,196.05","1,203.45","1,188.27",,-0.23%
"Mar 12, 2015","1,197.17","1,192.72","1,199.68","1,183.53",,0.26%
"Mar 11, 2015","1,194.01","1,204.92","1,210.09","1,188.82",,-1.00%
"Mar 10, 2015","1,206.11","1,208.80","1,214.02","1,201.22",,-0.33%
"Mar 09, 2015","1,210.05","1,202.56","1,212.99","1,200.86",,0.45%
"Mar 06, 2015","1,204.62","1,214.90","1,216.57","1,194.01",,-0.93%
"Mar 05, 2015","1,215.95","1,219.05","1,224.62","1,208.53",,-0.36%
"Mar 04, 2015","1,220.38","1,224.48","1,228.78","1,216.69",,-0.44%
"Mar 03, 2015","1,225.82","1,232.42","1,235.50","1,223.35",,-0.64%
"Mar 02, 2015","1,233.70","1,230.63","1,237.38","1,228.22",,0.06%
"Feb 27, 2015","1,232.93","1,233.41","1,237.40","1,228.79",,-0.15%
"Feb 26, 2015","1,234.75","1,249.38","1,253.88","1,228.04",,-1.27%
"Feb 25, 2015","1,250.57","1,252.77","1,255.71","1,245.24",,-0.28%
"Feb 24, 2015","1,254.12","1,254.68","1,264.54","1,251.55",,-0.16%
"Feb 23, 2015","1,256.09","1,263.06","1,267.19","1,251.63",,-0.62%
"Feb 20, 2015","1,263.88","1,262.56","1,269.63","1,251.75",,0.01%
"Feb 19, 2015","1,263.75","1,262.13","1,270.57","1,261.77",,0.02%
"Feb 18, 2015","1,263.55","1,264.08","1,270.21","1,260.91",,-0.15%
"Feb 17, 2015","1,265.45","1,249.59","1,266.58","1,245.09",,1.16%
"Feb 16, 2015","1,250.99","1,248.60","1,260.49","1,244.90",,0.08%
"Feb 13, 2015","1,249.99","1,254.86","1,258.32","1,248.55",,-0.49%
"Feb 12, 2015","1,256.11","1,254.62","1,261.00","1,247.67",,0.01%
"Feb 11, 2015","1,256.03","1,243.17","1,257.26","1,239.08",,0.92%
"Feb 10, 2015","1,244.52","1,239.00","1,246.57","1,232.20",,0.34%
"Feb 09, 2015","1,240.30","1,241.20","1,245.65","1,234.89",,-0.17%
"Feb 06, 2015","1,242.45","1,245.66","1,252.21","1,233.41",,-0.37%
"Feb 05, 2015","1,247.03","1,233.19","1,248.80","1,229.66",,1.01%
"Feb 04, 2015","1,234.60","1,253.55","1,255.29","1,229.59",,-1.62%
"Feb 03, 2015","1,254.92","1,245.64","1,264.14","1,241.32",,0.64%
"Feb 02, 2015","1,246.99","1,242.83","1,251.66","1,239.72",,0.20%
"Jan 30, 2015","1,244.44","1,243.91","1,252.99","1,237.52",,-0.06%
"Jan 29, 2015","1,245.16","1,224.38","1,246.68","1,223.04",,1.59%
"Jan 28, 2015","1,225.73","1,225.64","1,235.67","1,222.78",,-0.09%
"Jan 27, 2015","1,226.88","1,213.26","1,229.04","1,211.06",,1.01%
"Jan 26, 2015","1,214.60","1,204.35","1,220.36","1,195.09",,0.57%
"Jan 23, 2015","1,207.67","1,232.24","1,236.93","1,198.45",,-2.10%
"Jan 22, 2015","1,233.54","1,255.17","1,264.24","1,227.34",,-1.84%
"Jan 21, 2015","1,256.61","1,255.40","1,262.69","1,249.88",,-0.01%
"Jan 20, 2015","1,256.72","1,251.38","1,263.06","1,250.54",,0.32%
"Jan 19, 2015","1,252.76","1,245.06","1,256.88","1,242.92",,0.35%
"Jan 16, 2015","1,248.43","1,249.65","1,259.46","1,235.28",,-0.23%
"Jan 15, 2015","1,251.33","1,275.39","1,281.67","1,246.93",,-1.98%
"Jan 14, 2015","1,276.62","1,268.76","1,283.51","1,266.32",,0.52%
"Jan 13, 2015","1,269.99","1,280.00","1,285.06","1,267.03",,-0.87%
"Jan 12, 2015","1,281.18","1,284.10","1,289.83","1,277.58",,-0.36%
"Jan 09, 2015","1,285.78","1,290.65","1,293.87","1,282.39",,-0.47%
"Jan 08, 2015","1,291.88","1,299.39","1,304.48","1,287.18",,-0.69%
"Jan 07, 2015","1,300.80","1,305.30","1,310.40","1,298.81",,-0.44%
"Jan 06, 2015","1,306.60","1,323.06","1,325.35","1,304.77",,-1.35%
"Jan 05, 2015","1,324.53","1,327.21","1,330.66","1,313.83",,-0.30%
"Jan 02, 2015","1,328.58","1,320.98","1,334.14","1,319.22",,0.47%
"Jan 01, 2015","1,322.30","1,322.08","1,324.45","1,320.33",,-0.09%
"Dec 31, 2014","1,323.45","1,332.20","1,334.37","1,319.20",,-0.76%
"Dec 30, 2014","1,333.58","1,335.76","1,338.93","1,330.52",,-0.26%
"Dec 29, 2014","1,337.09","1,338.57","1,342.66","1,334.36",,-0.16%
"Dec 26, 2014","1,339.17","1,345.46","1,348.19","1,335.16",,-0.56%
"Dec 25, 2014","1,346.73","1,345.31","1,351.62","1,344.07",,0.00%
"Dec 24, 2014","1,346.69","1,345.59","1,348.75","1,340.90",,-0.02%
"Dec 23, 2014","1,346.97","1,344.11","1,351.35","1,340.20",,0.11%
"Dec 22, 2014","1,345.50","1,343.53","1,348.09","1,338.18",,0.02%
"Dec 19, 2014","1,345.27","1,349.80","1,356.24","1,342.34",,-0.43%
"Dec 18, 2014","1,351.14","1,352.77","1,365.96","1,343.48",,-0.23%
"Dec 17, 2014","1,354.22","1,351.09","1,370.32","1,349.14",,0.13%
"Dec 16, 2014","1,352.51","1,363.94","1,368.41","1,348.62",,-0.94%
"Dec 15, 2014","1,365.35","1,375.22","1,377.91","1,363.61",,-0.79%
"Dec 12, 2014","1,376.24","1,367.29","1,378.01","1,363.73",,0.55%
"Dec 11, 2014","1,368.75","1,369.83","1,375.59","1,363.35",,-0.19%
"Dec 10, 2014","1,371.30","1,366.00","1,374.31","1,362.21",,0.29%
"Dec 09, 2014","1,367.35","1,368.38","1,373.72","1,362.73",,-0.17%
"Dec 08, 2014","1,369.72","1,375.70","1,380.01","1,364.69",,-0.60%
"Dec 05, 2014","1,377.94","1,375.79","1,381.62","1,369.26",,0.07%
"Dec 04, 2014","1,377.03","1,372.66","1,385.50","1,369.00",,0.22%
"Dec 03, 2014","1,374.05","1,379.64","1,385.52","1,369.34",,-0.51%
"Dec 02, 2014","1,381.10","1,382.69","1,384.64","1,375.51",,-0.23%
"Dec 01, 2014","1,384.28","1,384.91","1,393.50","1,377.38",,-0.13%
"Nov 28, 2014","1,386.12","1,370.47","1,388.12","1,368.75",,1.04%
"Nov 27, 2014","1,371.83","1,379.01","1,381.52","1,367.87",,-0.62%
"Nov 26, 2014","1,380.38","1,383.57","1,386.02","1,377.08",,-0.32%
